task_ID,paper_ID,User Task,Visualisation Tools/Technique,How User Carries Out Task,"Task Type (network, geospatial, temporal, neither, all)",Geo_Modifier,Rule,Archetype,WHY Details,Why L1 Action,Why L2 Action,Why L3 Action,HOW Encode,HOW Manipulate (Interactive),HOW Facet (Dashboards/Multiple Views),HOW Reduce (Large datasets),Animation,Colour,Fill (Coverage),Orientation,Position,Saturation/Luminance,Shape,Size,Text,Texture,What Cat.,What Subcat.
T149,teja2014,Exchange Network Diagrams Across Different Software/Organizations,Scalable Vector Graphics (SVG) standard format,"Users generate network layout using the system (as in Task 1). System outputs diagram in SVG format (XML-based vector graphics). User shares the .svg file with other organizations/software systems. Recipients open SVG file in any major browser or SVG-compatible software. File contains complete network structure including node positions, connections, and labels.",Network,No Geo,Other,Other,Enable interoperability of network visualisations between different systems and organizations,Analyse,Consume,Present,"SVG standard format for cross-platform compatibility; Mark: SVG elements (circles for nodes, lines for edges, text for labels)","Navigate: Browser-based pan/zoom on SVG
Select: Not implemented in basic exchange format
Change: SVG is static once generated",,"Filter: Only network topology exported (no simulation data)
Embed: Geographic context removed, pure topological representation",,Black for active components (default SVG),,,Preserved 2D coordinates from layout algorithm,,"Circles (nodes) and lines (edges), Stroke width: Uniform line thickness",,Bus IDs/names as labels,,Domain-Specific,System Interoperability
T150,vega-fuentes2020,Trace Power Flow from Individual Generators to Their Loads,"GIS with dynamic power flow traces using coloured lines with all power flows from each power source. E.g the power from the secondary substation is blue, while the power from the DERs are green and red respectively. When they merge in a node, the resulting power trace is coloured with a proportional mix of the incoming flows. Fig. 5 shows the resulting hourly layers for every point of view with vector data generated by PyQGIS from the OpenDSS simulation. ","Users view coloured power flow lines on maps/orthoimages where line width represents power magnitude and colours represent different generators. Users see entire network with all power flows simultaneously, with different colours for each source. User selects a specific generator in the QGIS interface. System displays power flow lines in a unique colour for that generator (e.g., green or red for PV generators, blue for substation). Line width represents power magnitude in kW. User can view hourly layers showing how the generator's power reaches different loads. Associated attributes (line name, phase, time, power in kW) are attached to each vector.",All,Geo,R1,A3,Identify which loads are being fed by a specific generator,Search,Explore,,"Geographic map with coloured flow lines, where colour represents generator source and line width represents power magnitude; Flow paths on geographic map",Select specific generator; navigate time (hourly steps),Separate views per phase; separate views per generator,Filter to show only lines powered by selected generator,,"Generator identity (blue=substation, green=PV1, red=PV2)",,,Geographic coordinates,Lines with 0% power share hidden,Line width: Power magnitude (proportional to kW),,,,Topology-Based,Accessibility - Direct/Indirect Connection
T151,vega-fuentes2020,Identify All Generators Feeding a Specific Load,QGIS layers showing merged power flows with proportionally mixed colours,"Users select a specific load point in the network. System traces back all power sources feeding that load. When multiple sources merge at a node, the resulting trace shows proportionally mixed colours. User can examine the colour composition to understand the contribution mix from different generators. Power share percentages are calculated using the proportional sharing algorithm.",All,Geo,R1,A3,Understand which power sources are supplying a particular load,Query,Identify,,Geographic map with proportionally mixed colours showing merged power flows from multiple sources; Overlapping/merged flow paths,Select specific load node; temporal navigation,Separate visualisation per load if needed,Aggregate contributions at merge points,,Proportional colour blend at merge points,,,Geographic layout,Contribution strength,Line width: Individual contribution magnitude,,,,Topology-Based,Accessibility - Direct/Indirect Connection
T152,vega-fuentes2020,Monitor Network for Constraint Violations,"Time-animated GIS layers with Time Manager plugin showing dynamic power flows. It shows how power flow width and colour change throughout the circuit and during the day, depending on the mix from generators and on the load consumption.","Users activates the Time Manager plugin in QGIS to browse spatio-temporal data. System animates hourly power flow changes throughout the day. User observes flow width and colour changes to identify potential overloads or voltage issues
Zoom-in capability allows detailed inspection of specific circuit areas. User can take snapshots at critical times (e.g., 9:00h, 12:00h, 19:00h) to analyse problem areas. Users browse through hourly snapshots or animate the visualisation to see temporal changes in power flows.",All,Geo,R1,A3,Identify and prevent potential network violations before they occur,Analyse,Consume,Present,Geographic visualisation with time-varying flow width and colours showing potential violation areas; Complete network view with all flows,Temporal animation (Time Manager plugin); pan/zoom,"DNO perspective view showing all generators; temporal snapshots (9:00h, 12:00h, 19:00h)",Aggregate to system-level view when zoomed out,Temporal changes,Highlighting: Potential constraint violations (implicit),,,Geographic position spatial context,Mixed contributions from all sources,Line width: Power flow magnitude (dynamic throughout day),,,,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T153,venkatesh2009,Locate Regions Where Voltage Exceeds Threshold,3D surface visualisation with bounded butterfly subdivision and texture-mapped iso-surface visualisation with colour-coded levels-illustrate sharp transitions of voltage magnitude. The geographic location of the power network is shown as a set of 2D curves which is visible from any perspective view. The sites where the reading is available are highlighted by small disks on these curve lines (see figure c). The user can click on these disks to visualise the part of the power system network he is viewing. ,Users identify regions by observing colour-coded iso-surfaces representing constant values on the 3D surface.  Users see network topology as curves beneath the 3D surface from any viewing angle. User views a 3D triangulated mesh surface where height corresponds to voltage values at measurement sites. System uses bounded butterfly subdivision to ensure interpolated heights stay within bounds of original data points (preventing false threshold violations).,Geospatial + Network,Geo,R3,A4,Identify regions where voltage readings are above operational thresholds for system monitoring,Search,Locate,,"3D surface with height representing voltage values, with bounded interpolation to prevent misleading overshoots; 3D surface with iso-contours","Rotate/pan 3D view
Set threshold values
Click on sites for details",,Filter to show only regions above threshold,,Different iso-surface levels (9 colours in texture map),,,Geographic location,Intensity of values,Height (z-axis): Voltage magnitude,,"Texture coordinates: (0,0) = lowest, (1,0) = highest value",,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T154,venkatesh2009,Discover Voltage Gradient Patterns,Multi-level iso-surface rendering with texture mapping on refined triangle mesh,"User views the refined 3D surface as an iso-surface with multiple coloured bands. Each colour band represents a constant voltage value range. Sharp transitions appear as closely spaced colour bands or steep surface gradients
User can view from multiple angles to better understand transition locations. System uses 9 iso-surface levels with different colours in the texture map.",Geospatial + Network,Geo,Other,Other,Detect and analyse sharp transitions in voltage magnitude across the power network,Query,Identify,,Iso-surface rendering with multiple colour-coded levels showing voltage bands; Refined 3D surface with bounded subdivision,"Adjust subdivision levels (3 levels of refinement)
Toggle smoothing parameters (s=0.6, t=0.8)","Multiple views (wireframe, textured, plain surface)","Bounded butterfly subdivision (prevents overshooting)
Modified Laplacian smoothing",,,,Surface slope: Gradient magnitude,Mesh density: Refinement level,Emphasizes surface features,,,,Surface continuity: Sharp vs smooth transitions,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T155,venkatesh2009,Identify Specific Network Components Through Interaction,Interactive 2D network overlay with clickable markers on 3D visualisation,Users click on blue disk markers at measurement sites to examine local data. Power network is displayed as 2D curves representing power lines. Disks remain visible from any 3D perspective view as user rotates/zooms. User clicks on specific disk markers to access that part of the network. Selected site information can then be visualised in detail.,Geospatial + Network,Geo,Other,Other,Select and examine specific parts of the power system network,Query,Identify,,Clickable disk markers on 2D network curves that remain visible from any 3D perspective; 2D network overlay on 3D surface,"Click on blue disk markers
Hover for details
Navigate 3D view", Layered view (2D network + 3D surface),Highlight selected components,,Blue for interactive sites; Highlighting: Selection feedback,,,Geographic coordinates; Line marks: Power network connections,Layer separation,Disk markers for sites,Small uniform disks,,,Browsing,Follow Path
T156,weber2000,Assess state of power system rapidly,Voltage contour plots with colour mapping overlaid on one-line diagram,"Users view coloured contour plots on the one-line diagram where different colours represent voltage levels across the system-darker/blue indicates lower voltages, lighter/red indicates higher voltages. This enables users to scan the entire network to get an ""at a glance"" overview of voltage conditions.",Geospatial + Network,Geo,R5,A5,Quickly understand overall voltage conditions across thousands of buses,Analyse,Consume,Discover,Colour contours overlaid on one-line diagram,"Pan/zoom for large systems
""panning, and zooming with conditional display""",,"Overview first approach
Contours abstract individual values",,"Blue (low) to red (high), Continuous gradients: Smooth interpolation",,,Geographic bus locations,Deviation from nominal,,,,,Overview,General Overview
T157,weber2000,Analyse voltage patterns across regions,Contour visualisation instead of text displays on geographic one-line diagram,Users identify voltage patterns through continuous colour gradients rather than reading numerical values. By observing the smooth colour transitions across the network users can identify regions with similar colours (similar voltages) and recognise voltage trends across geographical areas.,Geospatial + Network,Geo,Other,Other,Recognise spatial trends and patterns in voltage distribution,Analyse,Consume,Discover,Continuous colour gradients showing voltage variations,,,"Aggregation through contouring

Individual buses ? regional patterns",,Smooth transitions,Extent of patterns,,,,,,,,Domain-Specific,Geographic/Spatial Integration
T158,weber2000,Locate voltage limit violations,Colour-coded contours with discrete jumps at voltage limits on one-line diagram,Users spot voltage violations/areas by observing highlighted/contrasting colours where limits are exceeded (highlighted areas with discrete colour jumps). Users identify buses shown in violation colours (distinct from normal operating range).,Geospatial + Network,Geo,R3,A4,Find buses operating outside acceptable voltage ranges,Search,Locate,,Discrete colour changes at limit boundaries to highlight violations,,,Visual emphasis on violations only,,"At limit boundaries, Contrast: Against normal range",,,,,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T159,weber2000,Locate low/high voltage areas at a glance,Colour-coded contour gradient mapping (multiple schemes available - dark colours for low voltages),"Users identify voltage levels by colour: darker = lower voltage, lighter = higher voltage. This enables scanning the one-line diagram for darker coloured regions to quickly identify problem areas without reading numerical values.",Geospatial + Network,Geo,R3,A4,Quickly spot problematic voltage regions,Search,Locate,,Darker colours for lower voltages in contour visualisation,,,erceptual grouping of problem areas,,Blue as Low voltage indicator,Extent of problems,,,Darker = lower voltage,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T160,weber2000,Determine corrective actions for voltage problems,Geographic one-line with contours showing voltage problems,"Users identify low voltage regions using the contour colours, locate nearby capacitor banks on the one-line diagram and switch in capacitors in the problem region to correct voltages.",Geospatial + Network,Geo,Other,Other,Fix voltage violations by switching capacitor banks,Analyse,Consume,Discover,Geographic visualisation with contours showing problem areas,"Interactive capacitor switching
""switch in capacitors in the problem region""",,Focus on problem regions only,,Problem areas,,,,,Symbols used to indicate capacitor locations,,,,Domain-Specific,Decision Support/Control 
T161,weber2000,Monitor real-time voltage changes through animation,Animated voltage contours  on one-line diagram updating in real-time,"Users watch animated contours showing voltage profile dynamically changing over time on the one-line diagram, treackinh the development of voltage problems as they emerge geographically.",All,Geo,R1,A3,Understand how voltage profile evolves over time,Analyse,Consume,Present,Animated contours updating in real-time,"Animation controls
Play/pause/speed controls implied",,"Frame rate optimization
<1 second update rate",Temporal encoding,Changing colours with voltage changes,,,,,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T162,weber2000,Compare voltage conditions between different areas,Colour gradient mapping on one-line diagram,Users cisually compare colours between different regions through a colour scale/legend to understand relative voltage magnitudes.,Geospatial + Network,Geo,R2,A2,Understand relative voltage conditions across the network,Query,Compare,,Colour gradients allowing visual comparison between regions,Visual scanning,,,,Regional differences,,,,Higher/lower comparison,,,,,Overview,Overview for Comparison/Verification
T163,weber2000,Identify weakest spots in transmission system,Contour visualisation for contingency analysis highlighting severe voltage deviations,Users identify weak areas by observing severe voltage deviations in contour patterns. Users  run contingency analysis scenarios and view resulting contours showing worst voltage deviations which identifies geographic areas with most severe colour indications.,Geospatial + Network,Geo,R4,A1,Support contingency analysis and system planning,Analyse,Consume,Discover,Contours highlighting most severe voltage deviations,Contingency selection,Multiple contingency views possible,Focus on worst-case scenarios,,Severity levels,,,,Severity levels,,,,,Topology-Based,Connectivity
T164,weber2000,Monitor unfamiliar system areas,Geographic contour plots providing overview,"Users get quick overview of unfamiliar area/problem areas through intuitive colour patterns, and use contours to quickly understand voltage conditions.",Geospatial + Network,Geo,Other,Other,Understand voltage conditions in less familiar network regions,Search,Browse,,Geographic contours providing intuitive overview,Pan/zoom to explore,,Abstraction aids unfamiliar area understanding,,Consistent contours across all areas,,,,,,,,,Browsing,Follow Path
T165,weber2000,Distinguish voltage levels at different nominal voltages,Separate contours for each voltage level,"Users select specific voltage level to contour (e.g., 115 kV, 345 kV, 500 kV), view contours for only that voltage level at a time and can switch between voltage levels to analyse each separately.",Geospatial + Network,Geo,Other,Other,Separately analyse different voltage level networks,Query,Identify,,Separate contours for each voltage level,Level selection/switching,"One contour per voltage level
Prevents confusion between levels",Show selected level only,,Colour mapping: Within each level,,,,,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T166,wong2011,Identify Extreme Values and Locate Anomalies,GreenCurve layout (fractal-based) and force-directed graph layout with colour-coded nodes (phase angles),"Users examine colour-coded nodes where voltage/phase angle values are mapped to colours (red for low, white for medium, blue for high values). In GreenCurve, every node is guaranteed to be visible in the fractal pattern. Users apply the rule ""the more yellow and red, the less stable the system is"" (page 7). Users compare two network visualisations (before and after an event) to identify changes in the distribution of coloured nodes, estimating percentage changes in low/medium/high phase angle regions",Network + Temporal,No Geo,R1,A3,"The task aims to find specific known anomalies that violate operational thresholds in the power grid. ""Node voltages must be within a prespecified range, typically [0.9, 1.1] per unit"" (Section 6) and ""high stress translates to large angle separation, and thus we should see more of the colours of the two extreme ends on the display""",Analyse,Consume,Discover,"Colour hue channel (red=low, white=normal, blue=high values) on nodes arranged in either fractal space-filling curve (GreenCurve) or force-directed layout, Juxtaposed views of colour-coded network layouts showing temporal changes; Mark: Area (cells in space-filling curve)",,Multiple parameters shown in separate views (Fig. 7),Aggregate dense regions into visible blocks,,Rainbow colourmap for values,,,2D spatial layout via Hilbert curve),Rainbow colourmap for values,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T167,wong2011,Compare and Identify Dense/Sparse Spatial Regions,GreenCurve layout and force-directed graph layout with colour mapping,"Users visually estimate percentages/numbers of nodes in different colour categories (red/white/blue) across the entire network visualisation in the fractal layout. The GreenCurve's space-filling property ensures all nodes are visible for accurate counting/estimation. In force-directed layout, dense regions have overlapping nodes making counting difficult.",Network,No Geo,R2,A2,"The task involves comparing different regions to assess their relative node densities. Problem 3 in Table 4 states participants must ""estimate overall percentages of electrical generators with low (red), medium (white), and high (blue) phase angle values""",Query,Compare,,"Colour hue channel on nodes with spatial arrangement preserving network locality in fractal curve or node-link diagram, Position channel - nodes packed in space-filling fractal curve ensuring visibility vs. force-directed layout where dense regions overlap;  Area (uniform cells)",Interactive morphing between layouts (slider bar),,Multiscale hierarchy for large graphs,,,,,Fractal curve layout preserving locality),Density indication,,Uniform footprint per node - key for comparison,,,Overview,Overview for Comparison/Verification
T168,wong2011,Identify Clusters,Force-directed graph layout and GreenCurve layout with colour-coded phase angle values,"Users identify spatial regions of similar colours - ""identify the two regions of generators with low phase angle values (blue regions) and one region of generators with high phase angle values (red region)"" (page 8). The GreenCurve maintains spatial locality while ensuring visibility.",Network,No Geo,R4,A1,"The task seeks to locate grouped structures within the network topology. Problem 5 requires ""the ability to view graph connectivity as well as the entire data set"" and the paper mentions identifying ""islands of the graph"" as partitioned segments",Analyse,Consume,Discover,Colour hue channel with spatial grouping - similar colours form visual clusters in both layouts; Mark: Area (contiguous blocks),,,Graph coarsening via multiscale hierarchy,,Group identification,,,Proximity in curve = connectivity,,,,,,Topology-Based,Connectivity
T169,wong2011,Browse Network Overview,GreenCurve's Hilbert curve layout of the network,"Users can see the complete network topology compressed into a compact rectangular visualisation where the entire network is folded into a space-filling fractal pattern where ""every graph node"" has ""guaranteed visibility"" (page 1).",Network,No Geo,R5,A5,"The task enables exploration of the entire network when specific targets aren't predetermined. ""The result is a highly compact visualisation that gives a succinct overview of the graph with guaranteed visibility of every graph node"" (Abstract)",Search,Explore,,Spatial position - nodes ordered by Fiedler vector and arranged in space-filling Hilbert curve pattern ensuring all nodes visible; Mark: Area (space-filling curve),"Morphing between force-directed and GreenCurve views
Interactive zoom/pan capabilities",,"Navigation via multiscale hierarchy
Interactive level-of-detail",,,,,Position (complete Hilbert curve layout),,,,,,Overview,General Overview
T170,wong2011,Summarise Multivariate Data,GreenCurve layout with multiple parameter displays,"Users view multiple network parameters simultaneously - ""voltage magnitudes, generator real power output (""Pg""), generator reactive power output (""Qg""), real power flow (""PL""), reactive line flow (""QL"")"" - each displayed as a separate colour-coded GreenCurve visualisation of the same network on a single screen.",Network,No Geo,R5,A5,"The task involves consuming multiple data dimensions at once to understand overall system state. Figure 7 caption: ""Multiparameter displays for maximum screen utilization"" showing ""all the quantities can be shown simultaneously on a single screen"" including voltage magnitudes, generator outputs, and line flows",Query,Summarise,,"Small multiples - separate GreenCurve visualisations for each parameter (voltage, power flow, etc.) displayed simultaneously, each using colour encoding; Mark: Area (grid cells)",,"Multiple coordinated views (8 parameters in Fig. 7)
Juxtaposed layouts for different attributes","Uniform footprint ensures all parameters visible
No overlapping unlike force-directed layout",,Different parameters,,,Position (consistent across views),,,,,,Overview,General Overview
T171,wong2009,Identify vulnerabilities and detect network separation,GreenGrid weighted graph layout with impedance visualisation,Users examine stretched/compressed links and node clustering patterns to identify weak coupling areas. Link lengths are proportional to impedance values. Longer links indicate weaker coupling between areas. Users identify natural separation points where long links connect dense clusters.,Network,No Geo,R4,A1,"Users need to discover potential failure points in the network topology to prevent blackouts.  ""A major challenge of GreenGrid is to help identify the vulnerabilities of the power grids at the first sign of trouble by detecting the onset of a network separation. Failing to quickly address the separation problem could result in a full-blown blackout"" (p. 1)",Analyse,Consume,Discover,"Spatial position with weighted graph layout - nodes weighted by phase angle, links weighted by impedance; stretched/compressed links show coupling strength; Mark: Points (nodes), Lines (links)",Morph between geographic and GreenGrid layouts,,Multilevel hierarchy for scalability,,Voltage phase angles,,,Position (force-directed layout weighted by impedance),,Length (link impedance - longer = higher impedance = weaker coupling),,,,Topology-Based,Connectivity
T172,wong2009,Identify synchronous islands/clusters,Greengrid node weighted clustering layout based on electrical properties with colour coding,Users identify dense node areas (clusters) separated by long links representing weak coupling. These dense areas represent synchronous islands that operate together.,Network,No Geo,R4,A1,"Users need to discover groups of strongly coupled generators to understand system stability. Problem 3 asks users to ""Identify the five asynchronous islands or clusters of an electric network or graph"" with islands described as ""dense node areas separated by long links"" (p. 7)",Analyse,Consume,Discover,"Spatial clustering in weighted graph layout - dense node areas separated by long links; Mark: Points (nodes), Lines (links)",,,,,Different values/phases,,,Position (densely connected areas appear closer); Proximity (spatial clustering indicates synchronous groups),,,,,,Topology-Based,Connectivity
T173,wong2009,Identify critical transmission lines,GreenGrid weighted graph layout with impedance-weighted links,"Users examine thicker/longer links representing higher impedance lines,  and shortest links (lowest impedance) in the graph by comparing link lengths.",Network,No Geo,R4,A1,"Users need to identify transmission lines with highest impedance values to assess system constraints. Problem 1 directly states ""Identify the three transmission lines with the highest impedance and three transmission lines with the lowest impedance"" (p. 7)",Query,Identify,,Link length proportional to impedance values in weighted graph; Mark: Lines (links),,,Focus on high-voltage lines (255kV+),,,,,Force-directed based on weights,,Length (proportional to impedance),,,,Topology-Based,Connectivity
T174,wong2009,Locate High/Low Phase Angle Regions,GreenGrid weighted graph layout with colour-coded nodes (heat map),Users track power flow by following colour gradients from white (sources) to black (sinks). Users examine colour-coded regions where nodes are weighted by phase angle values. They identify which regions have higher values (indicated by both colour and longer edges in those areas).,Network,No Geo,R3,A4,"Users need to locate areas with different phase angle values to understand power flow potential. Problem 2 states ""Given two regions of a power grid network or graph, identify which region consists of electrical buses or nodes with the higher phase-angle values"" (p. 7)",Search,Locate,,Colour coding (heat map) combined with spatial distortion based on phase angle weights; Mark: Points (nodes),,Side-by-side comparison of regions,,,"Red = high angles, Blue/White = low angles; heat map for phase angles",,,Geographic or force-directed,Heat map for phase angles,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T175,wong2009,Determine Power Flow Direction,Both GreenGrid layout and geographic layout with phase angle colour mapping,"Users observe the colour gradient from white (sources) to black (sinks) across the network to determine power flow direction. Graph shape physically reflects system properties - link lengths proportional to impedance, node distances to electrical coupling.",Geospatial + Network,Geo,Other,Other,"Users need to derive power flow patterns from phase angle differences to understand system operation. ""Real power is known to follow closely the variation of the phase angles, hence such representation will provide information about power flows in the entire system"" and ""power flows from the higher tower to the lower tower along the transmission lines"" (p. 6)",Analyse,Produce,Derive,"Colour gradient (white=sources to black=sinks) showing flow direction; Mark: Points (nodes), Lines (links)",,,,,"Colour gradient (white = sources, black = sinks)",,,Flow patterns visible in layout,,,,,Visual Pattern: Flow follows colour gradient from light to dark,Attribute-Based,"On the Links - Power Flow, Loading, Capacity, Status"
T176,wong2009,Identify Geographic Locations (Cities/States),GreenGrid layout and/or geographic network layout with colour coding,"Users locate specific cities/states in the visualisation and examine the colours of surrounding nodes to determine if they are sources (white), conduits (gray), or sinks (black).",Geospatial + Network,Geo,R5,A5,"Users need to identify whether specific geographic locations are energy sources, conduits, or sinks. Problem 5: ""From a set of four select cities, determine whether each city is an energy source, conduit, or sink based on the colours of surrounding generator nodes"" (p. 7)",Query,Identify,,"Spatial position in GreenGrid layout maintaining some geographic relationships; Mark: Points (cities), Regions (states)",Toggle between geographic and GreenGrid views,,,,Electrical values,,,Geographic or abstracted,,,,Labels (city annotations in study),,Overview,General Overview
T177,wong2009,Rank Population Sizes of Islands,GreenGrid layout with outlined synchronous islands,Users visually compare the number of visible nodes within each outlined island region and rank them by population size. GreenGrid's guaranteed node visibility enables accurate counting.,Network,No Geo,R2,A2,"Users need to compare island sizes to assess the relative scale of separated network regions. Problem 4: ""Given a power grid network or graph with five outlined synchronous islands or subgraphs, rank islands or subgraphs by generator or node population from largest to smallest"" (p. 7)",Query,Compare,,Visual area/node count in spatial clusters with guaranteed node visibility; Grouped points (island clusters),,,,,,,,Area (spatial extent of islands); Density (node concentration); Position (spatial grouping),,,,,,Topology-Based,Common Connection
T178,wong2009,Identify State/Geographic Boundaries,Combined GreenGrid and geographic layouts,Users use both layouts together - the geographic layout to identify state boundaries and the GreenGrid layout to analyse the electrical properties of nodes within those boundaries.,Geospatial + Network,Geo,R3,A4,"Users need to locate state boundaries and determine their energy characteristics based on generator patterns. Problem 6: ""From a set of four select states, determine whether each state is an energy source, conduit, or sink based on the colours of contained generator nodes"" (p. 7); The paper notes ""GreenGrid doesn't preserve geographic boundaries well"" requiring combined use of both layouts (p. 9)",Search,Locate,,"Combined GreenGrid and geographic layouts; Mark: Regions (states), Points (generators)",,,,,Predominant values indicate source/sink,,,Geographic boundaries; Containment (nodes within state boundaries),,,,,,Overview,General Overview
T179,xie2023,Verify Fault Location,Detailed view showing bus connections on network map with linked time-series,Users click on specific buses in the feature matrix or map to see detailed voltage/frequency time-series. The bus location and its transmission line connections are highlighted on the network map.,Network + Temporal,No Geo,R1,A3,"Users need to compare detailed temporal patterns of individual buses against known fault signatures to confirm fault origins.  ""looking into bus details"" to ""verify if a bus is the origin of the fault"" (p. 2); Case studies show examining ""voltage changes dramatically within a short period of time"" (p. 7)",Query,Compare,,Detailed time-series view showing individual bus behavior; Mark: Lines (time series curves),Click bus name to highlight on map,Multiple aligned views for different attributes,,,Different attributes (voltage/frequency),,,"Position: x-axis (time), y-axis (amplitude)",,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T180,xie2023,Locate Faulted Buses,Feature matrix with glyph-based encoding,Users scan feature matrix rows where each row represents a bus (network node) for dissimilar patterns-glyphs encode variance/mean of voltage and frequency. They identify abnormal patterns through visual comparison of glyphs showing voltage/frequency statistics. Buses are grouped by similarity and colour-coded. Users can click on bus names to link to the network map.,Network,No Geo,R3,A4,"Users need to locate the physical positions of faulted buses to understand spatial fault distribution. ""locating faulted buses by voltage contours in the spatial space"" (p. 2); ""the feature matrix presents the state changes over time...this bus is inferred to be the fault location"" (p. 7)",Search,Locate,,"Feature matrix using glyphs (ellipses with encoded dimensions for different statistics); Mark: Points (buses), Lines (transmission lines)","Animation over time, zoom/pan",,Inverse-Distance gridding for contours,"Animation over time, zoom/pan",Voltage contours (heat map),,,Geographic coordinates,,,Bus importance,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T181,xie2023,Identify Network Topology and Fault Propagation,Geographic network map with bus nodes and transmission lines,Users examine the network topology on the geographic map to understand how faults propagate. They can see bus connections via transmission lines and identify long-distance propagation patterns.,Geospatial + Network,Geo,R4,A1,"Users need to discover how faults propagate through the network to understand cascading effects. Case 2 shows ""the faulted bus is far from the main part of the contours, since they are connected via a long transmission line (Line 29)"" (p. 7)",Analyse,Consume,Discover,"Colour-mapped contours on geographic map; Mark: Points (buses), Lines (transmission)",Highlight transmission paths,Geographic view + abstract network view,,fault propagation over time,Fault status/propagation stage,,,Geographic or force-directed layout,,Line thickness: transmission capacity,,,,Topology-Based,Accessibility - Direct/Indirect Connection
T182,xie2023,Filter potential faulted buses,Interactive curve clusters with selection and dynamic linking between curve clusters and geographic network map,"Users select a cluster of curves showing abnormal patterns, which automatically highlights corresponding buses and contours on the geographic network map through dynamic linking, narrowing down fault candidates.",All,Geo,R1,A3,"Users need to browse through clustered voltage patterns to narrow down from 50,000+ buses to likely fault candidates. ""detecting faulted bus candidates"" and ""narrowing down the scope of faulted bus candidates"" through clustering (p. 3); ""univariate clustering algorithm over more than 50,000 buses"" (p. 2)",Search,Browse,,"Clustered curve visualisations and interactive selection; Mark: Lines in small multiples, Glyphs in feature matrix",Select cluster ? filter to feature matrix,Small multiples for curve clusters,"k-means clustering (univariate then multivariate)
Time windowing (m=70)",,Cluster membership,,,Clustered arrangement,,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T183,xie2023,Identify Voltage Distribution Patterns,Contours showing time-varying spatial voltage distribution overlaid on geographic network map,Users observe how voltage problems propagate through transmission lines on map through colour-coded contours (red indicating faults) on the geographic map showing voltage distributions. The contours are animated over time to show changes.,Geospatial + Network,Geo,Other,Other,"Users need to browse spatial voltage patterns over time to understand how system conditions evolve. Time-varying voltage contour which describes an open circuit fault"" (Figure 6 caption); voltage contours are ""animated over time"" to show system evolution (p. 5)",Analyse,Consume,Discover,"Colour-mapped contours on geographic map; Lines (curves), Areas (contours)",Interactive cluster selection,Small multiples (5 curve clusters),"Clustering into 5 groups
Aggregation via centroids
Time segmentation",,"Curves: cluster centroids highlighted
Contours: voltage levels (legend 0.85-1.05)",,, Time vs. amplitude,Individual curves vs. centroids,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
T184,xu2006,Locate observable islands in the measurement system,Colour contour mapping of 3D terrain with unique colours per network island,"Users visually identify different coloured regions representing separate observable islands, with red showing unobservable branches. Red-coloured branches indicating unobservable connections and blue branches show observable connections between buses. Users can also view the 3D network visualisation.",Network,No Geo,R3,A4,Determine which parts of the network can be monitored with existing measurements,Search,Locate,,"Colour-coded islands on terrain with distinct colours per island, red branches for unobservable connections; Mark: Area (terrain regions), Lines (branches)",,,Islands are computed through observability analysis algorithm,,Different colours for each island (categorical mapping),,,,"Red for unobservable branches, Blue for observable",,,,,Topology-Based,Accessibility - Direct/Indirect Connection
T185,xu2006,Identify bad measurements such as voltage limit violations in the system,3D terrain with colour contour on network topology with red highlighting for bad data (high residuals) around transmission towers,"Users locate bad data by identifying red regions (voltage violations) in the colour map, then pan/zoom in to find specific measurements. Users can also view entire system map for red coloured regions, click on suspected measurement to view normalised residual values in dialog box showing numerical results of bad data test. Users view the 3D network where buses are represented as towers on coloured terrain.",Network,No Geo,Other,Other,"Detect buses operating outside safe voltage limits, Detect and locate erroneous measurement data",Analyse,Consume,Discover,"Colour contour mapping on 3D terrain (red for high voltage, blue for low voltage), colour contour with red regions indicating bad data locations; Mark: Area (terrain colour contours)",Click for detailed numerical values (dialog box),,Largest normalised residual per bus,,Blue (low/good values) to Red (high/bad values),,,Geographic bus locations,,,,,,Attribute-Based,"On the Nodes - Voltage, Phase, Frequency, Status, Generation"
